prelim,timeofday,question
winter2009,afternoon,"Democratic transitions in Eastern Europe and Latin America over the past two decades have been a goldmine for testing theories of the transformation of authoritarian rule, state-society relations, and the economic and social pre-conditions for democracy. What in your view are the major findings and unresolved controversies produced by this recent work? In particular, what, if anything, has it told us that is new, or that we might not have been expected from theories based on earlier democratic transitions?"
winter2009,afternoon,"The basis and significance of Barack Obama's electoral victory can be analyzed from different perspectives: democratic theory, electoral politics, theories of political cleavages, and models of political mobilization. Select two of these perspectives and examine to what extent this historical event confirms, qualifies, or invalidates their core claims. "
fall2008,morning,"Power is a key concept in political sociology. Compare and contrast at least three different conceptions of power and assess their respective strengths and weaknesses. You may draw on Weber, Marx, Arendt, Bachrach and Baratz, Foucault, Lukes, Parsons, Piven and Cloward, or any others, but be sure to support your answer with references to specific authors and works."
fall2008,morning,"Pierre Bourdieu argues that the state is the principal “repository of symbolic power in the modern world.” How does Bourdieu’s conception of the sources and exercise of state power differ from conceptions of state power in the work of Weber and Marx? In your answer, you may also address conceptions of state power in more recent scholarship in the Weberian or Marxist traditions. In your view, what are the strengths and weaknesses of these distinct perspectives on state power for addressing key questions confronting political sociology of the state today?"
fall2008,morning,"Deliberative democracy is a widely used term. Discuss the meaning of this term and its theoretical ramifications for our understanding of democratic processes in light of Habermas and at least two other authors that have engaged his arguments, pro or con. Be sure to consider what kinds of speech and speakers count as deliberative, what can and should be excluded or included in a well-functioning deliberative democracy, what roles media, social movements and political parties can, should and empirically do play in deliberative democracy, and what evidence there is that deliberation actually affects democratic decision-making."
fall2008,morning,"Do nations have navels? An ongoing controversy in scholarship on nationalism centers on the question of nations’ origins: are nations modern inventions or do they have much longer historical roots? Describe the arguments made on either side of this debate, citing key authors identified with each position. Which arguments do you find most compelling and why? What are the implications of this debate for at least one important issue facing nations in the current era?"
fall2008,morning,"Does globalization undermine the nation-state? Some analysts argue that increasing transnational flows of persons, commodities, capital, symbols and ideas undermine the future existence of the territorial nation-state as the world’s preeminent political form. Others argue that the political, cultural, and economic changes subsumed under the generic notion of “globalization” end up reinforcing the institutions and legitimacy of existing states. Summarize the positions on either side of this debate, citing key authors associated with specific arguments. Which arguments do you find most compelling and why?"
fall2008,morning,"Feminist and critical race theorists have criticized the scholarship on nationhood and nationalism for neglecting gender and race. Select at least three such critical theorists and offer your own assessment of their work and of this line of critique more generally, including the alternatives they propose. In what ways, if any, do these critiques challenge classic works such as Benedict Anderson’s Imagined Communities or Ernest Gellner’s Nations and Nationalism? In what ways, if any, does the work of Anderson or Gellner withstand these critiques? Do you see the critiques as modifying prior understandings of nation or as requiring a complete reworking of the concept of nation?"
fall2008,afternoon,"New Social Movement theorists differentiate “contemporary” movements such as women's, peace, and environmental movements from ""traditional"" (class-based) movements of the past, emphasizing that ""identity"" takes primacy over ""interests"" in the former. Evaluate the ""newness"" of ""New Social Movements."" To what extent does the relationship between ""identity"" and ""interests"" in New Social Movements mark a historical shift in the forms and goals of political mobilization, a stage in the development of movement organizations, variation in local opportunity structures, or a difference in presumed or actual constituents? Be sure to include references to specific authors and works in your answer."
fall2008,afternoon,"""Sociology has many a posteriori explanations of social movements, but nothing to say about how to build one. Indeed, it doesn't seem even to think that question makes sense."" Looking at the past two decades of writing on social movements, and citing specific works of at least three major authors, critically evaluate this statement."
fall2008,afternoon,"The theoretical discussion of public discourse about political issues spans several different areas – social movements and framing, law and rights consciousness, media and agenda-setting, political campaigns and marketing candidates. Identify what you think are the most important commonalities in these literatures and the ways that they meaningfully diverge. Be sure to consider similarities and differences in how they deal with the problems of (1) institutional legacies that constrain choice; (2) emotions in relation to rational choice and strategic action; (3) elite and non-elite relationships to ideological manipulation. "
fall2008,afternoon,"Welfare states have often been divided into types on various criteria — including but not limited to program types and coverage, levels of “social wage” substitution for market results, treatment of gender inequality, and characteristic organization of political support. Discuss which you consider the two most useful typologies for accounting for cross-national variations, and explain why they are better than others. (In the process provide some summary of the approaches you consider to be less useful.) Moreover, do you think either of these “useful” typologies help to explain variation in how European states are responding to their increasing ethnic and religious diversity? Why or why not?"
fall2008,afternoon,"The US is often cited for being “exceptional” compared to Western Europe for its under- developed welfare state and/or lack of a strong organized working class. While many scholars have developed different explanations for American exceptionalism, others have challenged the underlying assumption that the United States was or is still exceptional. Compare, contrast, and assess three explanations of American exceptionalism. Is American exceptionalism still a useful concept for political sociology? Why or why not? Be sure to support your answers with references to specific authors and works."
